,cook,diet_current_coded,eating_out,sports,exercise,fav_cuisine_coded,on_off_campus,pay_meal_out,fav_food,fruit_day,income
0,2,1,3,1,1,3,1,2,1,5,5
1,3,2,2,1,1,1,1,4,1,4,4
2,1,3,2,2,2,1,2,3,3,5,6
3,2,2,2,2,3,3,1,2,1,4,6
4,1,2,2,1,1,1,1,4,3,4,6
5,3,2,1,2,2,6,1,5,3,2,1
6,2,3,2,1,1,4,2,2,1,4,4
7,3,1,2,2,2,5,1,5,1,5,5
8,3,1,5,2,2,1,1,3,3,4,5
9,3,1,3,1,1,1,1,3,1,5,4
10,1,1,2,1,1,4,3,2,1,5,3
11,3,1,1,1,1,1,1,3,1,5,5
12,5,1,1,1,3,4,1,2,3,4,5
13,2,2,4,1,2,1,2,3,1,5,5
14,3,1,2,1,2,4,2,3,3,5,5
15,4,2,4,1,1,1,1,3,2,3,4
16,3,1,1,2,2,7,1,2,1,5,1
17,3,3,2,1,1,5,1,6,3,3,6
18,3,1,3,2,3,5,1,2,3,5,5
19,4,2,2,1,2,1,1,3,1,2,5
20,5,2,4,1,1,2,1,2,3,2,6
21,3,2,1,1,1,8,1,5,2,3,6
22,5,1,1,1,1,1,1,5,1,4,6
23,4,1,2,1,3,4,1,3,1,3,4
24,1,1,4,2,2,4,1,3,1,4,4
25,3,1,2,1,1,0,1,3,3,4,6
26,3,1,2,1,1,1,1,4,1,3,5
27,4,1,2,1,1,2,1,6,1,5,6
28,2,2,2,2,2,1,1,3,1,3,5
29,3,2,5,2,2,8,1,4,1,5,5
30,3,1,3,1,2,2,3,3,2,3,5
31,2,2,2,2,2,1,4,3,1,5,4
32,5,2,3,1,2,2,1,4,2,4,5
33,4,2,2,2,3,1,1,3,1,3,3
34,4,2,3,1,1,1,1,4,3,5,6
35,1,3,2,1,1,5,2,3,1,5,4
36,3,2,4,1,1,1,1,3,3,5,6
37,2,2,2,1,3,1,1,4,1,3,6
38,3,1,2,1,2,1,1,3,1,4,5
39,5,2,5,1,1,2,2,3,1,5,6
40,3,3,2,1,1,1,1,3,1,3,6
41,2,4,4,2,1,1,1,3,1,5,3
42,4,2,2,2,2,1,1,3,1,5,6
43,3,2,1,2,2,4,1,2,3,4,3
44,1,1,2,1,1,4,2,6,1,5,5
45,3,1,2,2,2,1,1,4,1,5,6
46,3,2,2,1,2,1,1,3,1,4,4
47,4,2,2,1,1,1,1,3,3,5,6
48,4,2,2,1,1,4,1,3,1,5,5
49,3,2,2,2,2,1,1,6,1,3,3
50,5,1,2,2,1,5,3,3,2,4,1
51,3,4,3,1,1,0,1,3,1,5,6
52,1,3,5,1,1,2,1,3,1,5,5
53,4,4,3,2,2,5,3,3,3,4,3
54,1,1,3,1,1,1,1,6,1,5,6
55,3,2,5,1,1,1,1,2,1,4,3
56,3,1,4,1,1,4,2,4,1,5,6
57,2,1,3,1,1,5,1,3,3,4,5
58,1,3,2,1,2,2,2,4,1,5,5
59,2,3,2,1,2,1,2,3,3,5,6
60,2,1,5,1,1,2,1,3,1,5,6
61,2,1,2,2,2,2,3,2,2,3,4
62,3,1,5,1,1,1,1,3,1,4,6
63,3,1,4,1,1,1,1,3,1,5,5
64,1,1,3,1,1,4,1,2,3,5,2
65,2,2,3,2,2,1,1,5,3,3,6
66,2,1,2,1,2,5,1,3,1,5,4
67,4,2,3,1,2,1,1,4,1,5,5
68,3,1,1,1,1,1,1,4,1,5,6
69,2,2,2,2,2,1,2,3,1,3,6
70,3,1,1,1,2,1,1,3,1,5,3
71,2,1,1,1,1,1,1,6,1,5,5
72,3,2,1,2,2,0,1,2,2,5,5
73,1,2,4,1,1,2,3,3,1,3,6
74,2,4,1,2,2,0,2,5,2,4,3
75,3,1,2,2,1,1,1,4,1,5,5
76,2,2,2,1,2,5,2,3,3,4,3
77,2,2,2,1,2,5,1,3,2,3,3
78,2,3,2,1,1,4,1,3,1,5,5
79,5,2,1,1,1,4,1,3,1,5,6
80,3,2,3,2,2,1,1,3,3,3,4
81,3,2,3,1,1,1,1,5,1,4,4
82,3,4,5,1,1,1,1,3,1,3,3
83,2,2,2,1,2,2,1,2,1,4,1
84,1,1,2,1,1,2,1,3,3,5,5
85,3,3,3,2,3,4,1,3,3,5,6
86,2,1,1,1,2,4,1,3,3,5,6
87,4,2,2,1,1,5,1,3,2,4,6
88,3,2,1,2,1,2,1,4,1,4,2
89,3,2,2,2,1,4,1,3,1,5,3
90,4,1,2,1,1,1,1,4,1,5,6
91,2,2,3,2,2,5,2,3,3,2,6
92,2,2,5,1,3,5,1,3,1,1,3
93,4,2,2,2,3,1,1,4,1,4,4
94,2,1,2,1,1,1,1,3,1,5,6
95,3,2,2,1,1,5,1,3,3,4,5
96,2,2,2,2,2,1,1,3,3,3,6
97,3,1,2,1,1,1,1,5,1,5,5
98,4,2,5,1,2,1,4,6,2,5,6
99,4,2,3,1,2,1,1,3,1,5,4
100,3,1,2,1,2,1,1,2,1,5,2
101,3,2,2,2,3,4,1,2,3,5,5
102,2,1,3,2,1,1,1,3,3,5,4
103,2,1,2,2,2,8,1,3,1,5,4
104,4,2,2,2,2,1,1,4,3,4,5
105,3,2,3,1,2,1,2,5,3,3,4
106,2,1,5,2,2,4,1,3,1,5,1
107,2,1,2,2,1,1,1,3,3,4,4
108,5,1,2,1,1,1,1,3,2,5,6
109,2,2,3,2,3,1,1,3,2,4,6
110,3,2,4,1,2,1,2,4,1,3,3
111,2,1,2,2,2,0,3,6,1,3,5
112,1,1,4,2,1,1,1,3,3,5,6
113,2,2,3,2,2,1,1,3,1,4,6
114,3,2,3,1,2,4,1,5,3,4,3
115,4,2,2,1,1,0,1,5,3,5,6
116,3,2,4,2,2,4,1,3,2,5,1
117,3,1,2,2,2,4,1,2,3,3,2
118,3,2,2,2,2,5,3,4,1,5,3
119,2,2,2,1,2,8,1,3,3,5,2
120,3,2,2,1,2,1,3,4,1,5,4
121,3,2,4,1,2,2,1,4,1,4,2
122,3,2,3,2,2,4,1,4,1,4,2
123,3,1,5,2,1,1,1,3,3,5,4
124,3,1,1,2,2,2,1,3,1,3,5
